scope,domain,q_id,k,metric,bm25_v0.1,embedding_v0.1,hybrid_v0.1,reranker_v0.1,hybrid_minus_bm25,hybrid_minus_embedding,reranker_minus_bm25,reranker_minus_embedding,reranker_minus_hybrid
aggregate,evidence,,1,part_recall,0.008547008547,0.0,0.004273504274,0.055555555556,-0.004273504273,0.004273504274,0.047008547009,0.055555555556,0.051282051282
aggregate,evidence,,1,item_coverage,0.011061946903,0.0,0.008849557522,0.068584070796,-0.002212389381,0.008849557522,0.057522123893,0.068584070796,0.059734513274
aggregate,evidence,,1,all_parts_rate,0.008849557522,0.0,0.008849557522,0.035398230088,0.0,0.008849557522,0.026548672566,0.035398230088,0.026548672566
aggregate,evidence,,1,benchmark_weighted_strict_score,0.012765957447,0.0,0.012765957447,0.03829787234,0.0,0.012765957447,0.025531914893,0.03829787234,0.025531914893
aggregate,evidence,,1,weighted_partial_coverage,0.015957446809,0.0,0.012765957447,0.076595744681,-0.003191489362,0.012765957447,0.060638297872,0.076595744681,0.063829787234
aggregate,evidence,,1,core_recall,0.020408163265,0.0,0.020408163265,0.040816326531,0.0,0.020408163265,0.020408163266,0.040816326531,0.020408163266
aggregate,evidence,,3,part_recall,0.021367521368,0.017094017094,0.012820512821,0.094017094017,-0.008547008547,-0.004273504273,0.072649572649,0.076923076923,0.081196581196
aggregate,evidence,,3,item_coverage,0.026548672566,0.008849557522,0.022123893805,0.115044247788,-0.004424778761,0.013274336283,0.088495575222,0.106194690266,0.092920353983
aggregate,evidence,,3,all_parts_rate,0.017699115044,0.0,0.017699115044,0.070796460177,0.0,0.017699115044,0.053097345133,0.070796460177,0.053097345133
aggregate,evidence,,3,benchmark_weighted_strict_score,0.025531914894,0.0,0.01914893617,0.070212765957,-0.006382978724,0.01914893617,0.044680851063,0.070212765957,0.051063829787
aggregate,evidence,,3,weighted_partial_coverage,0.03829787234,0.011436170213,0.025531914894,0.123138297872,-0.012765957446,0.014095744681,0.084840425532,0.111702127659,0.097606382978
aggregate,evidence,,3,core_recall,0.040816326531,0.0,0.020408163265,0.061224489796,-0.020408163266,0.020408163265,0.020408163265,0.061224489796,0.040816326531
aggregate,evidence,,5,part_recall,0.068376068376,0.055555555556,0.038461538462,0.132478632479,-0.029914529914,-0.017094017094,0.064102564103,0.076923076923,0.094017094017
aggregate,evidence,,5,item_coverage,0.087020648968,0.061946902655,0.053097345133,0.16814159292,-0.033923303835,-0.008849557522,0.081120943952,0.106194690265,0.115044247787
aggregate,evidence,,5,all_parts_rate,0.053097345133,0.035398230088,0.035398230088,0.106194690265,-0.017699115045,0.0,0.053097345132,0.070796460177,0.070796460177
aggregate,evidence,,5,benchmark_weighted_strict_score,0.063829787234,0.051063829787,0.031914893617,0.114893617021,-0.031914893617,-0.01914893617,0.051063829787,0.063829787234,0.082978723404
aggregate,evidence,,5,weighted_partial_coverage,0.112765957447,0.079521276596,0.054255319149,0.190159574468,-0.058510638298,-0.025265957447,0.077393617021,0.110638297872,0.135904255319
aggregate,evidence,,5,core_recall,0.081632653061,0.081632653061,0.020408163265,0.122448979592,-0.061224489796,-0.061224489796,0.040816326531,0.040816326531,0.102040816327
aggregate,evidence,,10,part_recall,0.119658119658,0.119658119658,0.141025641026,0.205128205128,0.021367521368,0.021367521368,0.08547008547,0.08547008547,0.064102564102
aggregate,evidence,,10,item_coverage,0.152654867257,0.130530973451,0.163716814159,0.234513274336,0.011061946902,0.033185840708,0.081858407079,0.103982300885,0.070796460177
